epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
132,2556.58,1.246,1.13224,1.3563,0.57271,0.60797,0.6083,0.3706,1.45271,1.35202,1.36957,0.0087031,0.0087031,0.0087031
133,2576.42,1.25976,1.1745,1.35958,0.71861,0.5139,0.63349,0.3659,1.40226,1.31956,1.3283,0.0086932,0.0086932,0.0086932
134,2596.4,1.24361,1.18876,1.3688,0.61892,0.6339,0.63904,0.37957,1.40968,1.34983,1.35856,0.0086833,0.0086833,0.0086833
135,2615.94,1.20667,1.14577,1.32758,0.66313,0.55558,0.60931,0.36472,1.4024,1.34504,1.36903,0.0086734,0.0086734,0.0086734
136,2635.1,1.24425,1.15535,1.3668,0.66599,0.5958,0.63997,0.37796,1.3902,1.37981,1.32041,0.0086635,0.0086635,0.0086635
137,2655.04,1.23726,1.17173,1.35189,0.7287,0.55642,0.62932,0.38301,1.39797,1.40548,1.35835,0.0086536,0.0086536,0.0086536
138,2674.23,1.22462,1.13571,1.33876,0.61783,0.60402,0.62365,0.37652,1.43228,1.43,1.33921,0.0086437,0.0086437,0.0086437
139,2693.91,1.24467,1.16086,1.35229,0.62327,0.56302,0.58153,0.35958,1.40431,1.3904,1.31936,0.0086338,0.0086338,0.0086338
140,2713.43,1.23836,1.16963,1.35461,0.56214,0.62136,0.59911,0.36219,1.39708,1.36357,1.30762,0.0086239,0.0086239,0.0086239
141,2733.06,1.22186,1.14086,1.34244,0.57363,0.65044,0.59731,0.35763,1.417,1.362,1.34823,0.008614,0.008614,0.008614
142,2752.98,1.23375,1.15879,1.34305,0.63276,0.60353,0.60286,0.35688,1.44759,1.3726,1.35458,0.0086041,0.0086041,0.0086041
143,2772.78,1.22324,1.11627,1.34112,0.65195,0.61651,0.62284,0.36914,1.49073,1.36625,1.3795,0.0085942,0.0085942,0.0085942
144,2792.62,1.20861,1.12413,1.3379,0.66324,0.54582,0.62361,0.37866,1.4358,1.37153,1.34566,0.0085843,0.0085843,0.0085843
